,id,age,household_makeup,children_ages_2_or_younger,children_ages_3_5,children_ages_6_9,children_ages_10_14,children_ages_15_17,annual_household_income,location_density,population_perc,group_population_est
0,100000,20-24,self,n,n,n,n,n,"$70,000 - $99,000",urban,0.0012933142041045467,429242.8946619524
1,100001,20-24,self,n,n,n,n,n,"$70,000 - $99,000",suburb,0.0005582270980450864,185272.0821306659
2,100002,20-24,self,n,n,n,n,n,"$70,000 - $99,000",rural,0.0003301618570165702,109578.65518138402
3,100003,20-24,self,n,n,n,n,n,"$100,000 - $199,000",urban,0.0015831051231598944,525422.6880542235
4,100004,20-24,self,n,n,n,n,n,"$100,000 - $199,000",suburb,0.0006838277279238732,226958.14555549537
5,100005,20-24,self,n,n,n,n,n,"$100,000 - $199,000",rural,0.00032401422951097714,107538.29606568773
6,100006,20-24,self,n,n,n,n,n,"$200,000+",urban,0.0007527789047013354,249842.6098383243
7,100007,20-24,self,n,n,n,n,n,"$200,000+",suburb,0.0002287906898237982,75934.19886675377
8,100008,20-24,self,n,n,n,n,n,"$200,000+",rural,6.339770812665751e-05,21041.302774573294
9,100009,20-24,With other adults only,n,n,n,n,n,"$70,000 - $99,000",urban,0.0019489315567172037,646838.1931075526
10,100010,20-24,With other adults only,n,n,n,n,n,"$70,000 - $99,000",suburb,0.0008412081176731528,279191.7124989434
11,100011,20-24,With other adults only,n,n,n,n,n,"$70,000 - $99,000",rural,0.0004975301902057607,165127.15807795225
12,100012,20-24,With other adults only,n,n,n,n,n,"$100,000 - $199,000",urban,0.0023856256448240355,791774.229428689
13,100013,20-24,With other adults only,n,n,n,n,n,"$100,000 - $199,000",suburb,0.001030479240140882,342009.61415511166
14,100014,20-24,With other adults only,n,n,n,n,n,"$100,000 - $199,000",rural,0.00048826615737710354,162052.48352864626
15,100015,20-24,With other adults only,n,n,n,n,n,"$200,000+",urban,0.001134383708109997,376494.85715161375
16,100016,20-24,With other adults only,n,n,n,n,n,"$200,000+",suburb,0.0003447711266647878,114427.38039664579
17,100017,20-24,With other adults only,n,n,n,n,n,"$200,000+",rural,9.553578983317312e-05,31707.73106926475
18,100018,20-24,With children,y,y,y,y,y,"$70,000 - $99,000",urban,1.706771447308284e-10,0.056646676750621655
19,100019,20-24,With children,y,y,y,y,y,"$70,000 - $99,000",suburb,7.366856940357994e-11,0.024450137388146564
